CÓDIGO PERSONA;EMPRESA;EDAD;SEXO;"ACTIVO/ CESADO 
(Data 07/12)";SEGMENTO;SEGMENTO_PERSONAL;CATEGORÍA_PERSONAL;POSICIÓN;UO3;UO2;NACIONAL/ EXTRANJERO;AGRUPADOR;EVENTO DE APRENDIZAJE;FECHA DE INICIO;FECHA DE TÉRMINO;MES DE INICIO;TOTAL HORAS POR PERSONA;HORAS POR CURSO;CAPACIDAD;MODALIDAD;INVERSIÓN PERCAPITA (US$);DOCENTE/INSTITUCIÓN;ASISTENCIA
6500347;Rimac Seguros y Reasegrs;43;Femenino;ACTIVO;Sub-Gerente;GERENCIAL;SGTE;SUBGERENTE COMERCIAL;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6502056;Rimac Seguros y Reasegrs;45;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;SUPERVISOR OPERACIONES SELF SERVICE;OPERACIONES SELF SERVICE RRLL;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6542213;Rimac Seguros y Reasegrs;38;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;AGILE COACH;CENTRO EXCELENCIA AGIL;CENTRO EXCELENCIA AGIL;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6533810;Rimac Seguros y Reasegrs;28;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA COMERCIAL;TRIBU EMPRESAS;DIVISION SEGUROS EMPRESAS;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6502097;Rimac Seguros y Reasegrs;38;Femenino;ACTIVO;Empleado FFVV;ATENCION AL CLIENTE;MASIVOS FRONT;SUPERVISOR DE VENTAS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6508846;Rimac S.A. EPS;31;Femenino;ACTIVO;Empleado;ATENCION AL CLIENTE;MASIVOS FRONT;EJECUTIVO DE SERVICIO;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6510220;Rimac S.A. EPS;32;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVO GESTION PROVEEDORES SALUD;SINIESTROS SALUD PROVEEDORES;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6501341;Rimac Seguros y Reasegrs;32;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;GERENTE DE AGENCIA;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6500754;Rimac Seguros y Reasegrs;37;Femenino;CESADO;Jefe;ADMINISTRATIVOS;JEFE;JEFE GESTION Y DESARROLLO DE CLIENTES;DISEÑO EXPERIENCIA Y ESTRATEGIA CLIENTES;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6525419;Rimac Seguros y Reasegrs;42;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;INVESTIGADOR;PREVENCION DEL FRAUDE;DIVISION FINANZAS Y CONTROL DE RIESGO;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6517906;Rimac Seguros y Reasegrs;35;Femenino;CESADO;Empleado FFVV;ATENCION AL CLIENTE;MASIVOS FRONT;SUPERVISOR DE VENTAS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6502786;Rimac Seguros y Reasegrs;39;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ESPECIALISTA DE PROYECTOS TI;DESARROLLO TI;TECNOLOGIA DE INFORMACION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6506384;Rimac Seguros y Reasegrs;47;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE DE CAJA;ADMINISTRACION Y CONTROL DE RIESGOS;DIVISION FINANZAS Y CONTROL DE RIESGO;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6504663;Rimac S.A. EPS;34;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;SUPERVISOR GESTION PROVEEDORES SALUD;SINIESTROS SALUD PROVEEDORES;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6539799;Rimac S.A. EPS;34;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ASESOR TECNICO EN PREVENCION DE RRLL;RIESGOS HUMANOS;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6503924;Rimac Seguros y Reasegrs;35;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ARQUEADOR;ADMINISTRACION Y CONTROL DE RIESGOS;DIVISION FINANZAS Y CONTROL DE RIESGO;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6501245;Rimac Seguros y Reasegrs;36;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVO CONTROL DE CALIDAD;EXPERIENCIA DEL CLIENTE;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6500405;Rimac Seguros y Reasegrs;54;Masculino;CESADO;Empleado FFVV;ATENCION AL CLIENTE;MASIVAS FFVV;ASESOR DE SEGUROS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6541068;Rimac Seguros y Reasegrs;36;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ASISTENTE ADMINISTRACION ACCESOS;SEGURIDAD DE LA INFORMACION;TECNOLOGIA DE INFORMACION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6507004;Rimac Seguros y Reasegrs;45;Femenino;CESADO;Empleado FFVV;ATENCION AL CLIENTE;MASIVAS FFVV;ASESOR DE SEGUROS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6504694;Rimac S.A. EPS;51;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVO SR SINIESTROS PERSONAS;SINIESTROS SALUD PERSONAS;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6540743;Rimac Seguros y Reasegrs;24;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA DESARROLLO DEL TALENTO;GESTION DEL TALENTO;DIVISION GESTION Y DESARROLLO HUMANO;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6511772;Rimac Seguros y Reasegrs;54;Femenino;ACTIVO;Sub-Gerente;GERENCIAL;GTE;GERENTE DE CUMPLIMIENTO;SALVAMENTOS Y RECUPEROS;DIVISION LEGAL Y REGULACION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6502089;Rimac Seguros y Reasegrs;46;Femenino;ACTIVO;Empleado FFVV;ATENCION AL CLIENTE;MASIVAS FFVV;ASESOR DE SEGUROS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6518057;Rimac Seguros y Reasegrs;37;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA ASEGURAMIENTO DE CALIDAD;DESARROLLO TI;TECNOLOGIA DE INFORMACION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6518727;Rimac Seguros y Reasegrs;39;Femenino;CESADO;Empleado FFVV;ATENCION AL CLIENTE;MASIVAS FFVV;ASESOR DE SEGUROS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6501943;Rimac Seguros y Reasegrs;49;Femenino;ACTIVO;Empleado FFVV;ATENCION AL CLIENTE;MASIVAS FFVV;ASESOR DE SEGUROS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6500560;Rimac Seguros y Reasegrs;40;Femenino;ACTIVO;Empleado FFVV;ATENCION AL CLIENTE;MASIVOS FRONT;SUPERVISOR DE VENTAS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6501945;Rimac Seguros y Reasegrs;53;Femenino;CESADO;Empleado FFVV;ATENCION AL CLIENTE;MASIVAS FFVV;ASESOR DE SEGUROS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6515693;Rimac Seguros y Reasegrs;33;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE DE PRODUCTO;TRIBU VIDA;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6503181;Rimac Seguros y Reasegrs;32;Femenino;ACTIVO;Empleado FFVV;ADMINISTRATIVOS;COLABORADOR;SUPERVISOR VENTAS PRESENCIALES;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6504930;Rimac S.A. EPS;41;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ASESOR TECNICO EN PREVENCION DE RRLL;RIESGOS HUMANOS;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6532678;Rimac Seguros y Reasegrs;24;Masculino;CESADO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVO DE OPERACIONES;OPERACIONES SELF SERVICE RRLL;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6539460;Rimac Seguros y Reasegrs;30;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE DE PRODUCTO;PRODUCTO;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6532389;Rimac Seguros y Reasegrs;34;Femenino;CESADO;Empleado;ADMINISTRATIVOS;COLABORADOR;ABOGADO SR DE RECUPEROS;ASESORIA JURIDICA CONTENCIOSA;DIVISION LEGAL Y REGULACION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6524382;Rimac S.A. EPS;38;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;REPRESENTANTE EN CLIENTES;CORREDORES ESTRATEGICOS EB;DIVISION SEGUROS EMPRESAS;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6541538;Rimac Seguros y Reasegrs;39;Femenino;CESADO;Empleado FFVV;ATENCION AL CLIENTE;MASIVAS FFVV;ASESOR DE SEGUROS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6539466;Rimac Seguros y Reasegrs;55;Masculino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;GESTOR AMBIENTES NO PRODUCTIVOS;OPERACIONES TI;TECNOLOGIA DE INFORMACION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6503575;Rimac Seguros y Reasegrs;33;Masculino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE DE APLICACIONES CROSS;DESARROLLO TI;TECNOLOGIA DE INFORMACION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6500651;Rimac Seguros y Reasegrs;53;Femenino;ACTIVO;Empleado FFVV;ATENCION AL CLIENTE;MASIVOS FRONT;SUPERVISOR DE VENTAS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6538167;Rimac Seguros y Reasegrs;25;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVO CENTRO DE INFORMACION;SINIESTROS VEHICULARES;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6526945;Rimac Seguros y Reasegrs;32;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA OPERACIONES DE COMPRAS;ADMINISTRACION Y CONTROL DE RIESGOS;DIVISION FINANZAS Y CONTROL DE RIESGO;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6523862;Rimac Seguros y Reasegrs;36;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;GESTOR COMERCIAL;CORREDORES ESTRATEGICOS RRGG;DIVISION SEGUROS EMPRESAS;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6541624;Rimac Seguros y Reasegrs;26;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA PLANEAMIENTO Y GESTION RECURSOS;PLANEAMIENTO Y GESTION DE RECURSOS;TECNOLOGIA DE INFORMACION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6500786;Rimac Seguros y Reasegrs;43;Femenino;ACTIVO;Sub-Gerente;GERENCIAL;SGTE;SUBGERENTE DE COMUNICACIONES;COMUNICACION EXTERNA;DIVISION LEGAL Y REGULACION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6541434;Rimac S.A. EPS;52;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE SR ADMINISTRACION DE SINIESTROS;SINIESTROS SALUD PROVEEDORES;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6538000;Rimac Seguros y Reasegrs;28;Masculino;CESADO;Empleado FFVV;ATENCION AL CLIENTE;MASIVAS FFVV;ASESOR DE SEGUROS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6521583;Rimac Seguros y Reasegrs;49;Masculino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;GERENTE DE AGENCIA;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6500456;Rimac Seguros y Reasegrs;39;Masculino;ACTIVO;Gerente;GERENCIAL;GTE;GERENTE COMERCIAL CORREDORES ESTRATEGICO;CORREDORES ESTRATEGICOS RRGG;DIVISION SEGUROS EMPRESAS;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6503590;Rimac Seguros y Reasegrs;47;Femenino;CESADO;Jefe;ADMINISTRATIVOS;JEFE;JEFE ESCUELA DE NEGOCIOS;GESTION DEL TALENTO;DIVISION GESTION Y DESARROLLO HUMANO;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6502149;Rimac Seguros y Reasegrs;42;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA SR DE DATA;TRIBU DATA;INTELIGENCIA ARTIFICIAL Y DATA;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6537845;Rimac Seguros y Reasegrs;29;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA GESTION ADMINISTRATIVA;BUSINESS PARTNER Y COMPENSACIONES;DIVISION GESTION Y DESARROLLO HUMANO;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6522657;Rimac S.A. EPS;27;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVO SERVICIO ITINERANTE SALUD;SINIESTROS SALUD PROVEEDORES;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6536950;Rimac Seguros y Reasegrs;49;Femenino;ACTIVO;Empleado FFVV;ATENCION AL CLIENTE;MASIVAS FFVV;ASESOR DE SEGUROS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6501218;Rimac Seguros y Reasegrs;37;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVO DE OPERACIONES;OPERACIONES SELF SERVICE RRLL;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6504699;Rimac S.A. EPS;50;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVO SR ATENCIONES EN EXTRANJERO;SINIESTROS SALUD PERSONAS;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6538042;Rimac Seguros y Reasegrs;25;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA DE PRODUCTO;RIESGOS HUMANOS;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6503058;Rimac Seguros y Reasegrs;49;Masculino;ACTIVO;Sub-Gerente;GERENCIAL;SGTE;SUBGERENTE CONTACT CENTER;EXPERIENCIA DEL CLIENTE;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6504829;Rimac S.A. EPS;31;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVO SR DE OPERACIONES;GESTION SERVICIOS OPERATIVOS;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6509969;Rimac Seguros y Reasegrs;45;Masculino;CESADO;Empleado FFVV;ATENCION AL CLIENTE;MASIVAS FFVV;ASESOR DE SEGUROS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6538858;Rimac Seguros y Reasegrs;45;Femenino;ACTIVO;Empleado FFVV;ATENCION AL CLIENTE;MASIVAS FFVV;ASESOR DE SEGUROS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6504455;Rimac S.A. EPS;65;Femenino;CESADO;Empleado;ADMINISTRATIVOS;COLABORADOR;SUPERVISOR PREVENCION DE LA SALUD;RIESGOS HUMANOS;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6500654;Rimac Seguros y Reasegrs;39;Femenino;CESADO;Jefe;ADMINISTRATIVOS;JEFE;JEFE GESTION INDICADORES ESTRATEGICOS;GESTION DE INDICADORES ESTRATEGICOS;ESTRATEGIA;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6522641;Rimac Seguros y Reasegrs;28;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;SUSCRIPTOR;SUSCRIPCION RIESGOS PATRIMONIALES;DIVISION SEGUROS EMPRESAS;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6507114;Rimac Seguros y Reasegrs;35;Femenino;ACTIVO;Empleado FFVV;ATENCION AL CLIENTE;MASIVAS FFVV;ASESOR DE SEGUROS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6538420;Rimac Seguros y Reasegrs;30;Femenino;ACTIVO;Empleado;ATENCION AL CLIENTE;MASIVOS FRONT;EJECUTIVO ATENCION AL CLIENTE PROV;EXPERIENCIA DEL CLIENTE;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6514301;Rimac Seguros y Reasegrs;31;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;BUSINESS PARTNER;BUSINESS PARTNER Y COMPENSACIONES;DIVISION GESTION Y DESARROLLO HUMANO;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6501118;Rimac Seguros y Reasegrs;34;Femenino;ACTIVO;Empleado FFVV;ATENCION AL CLIENTE;MASIVAS FFVV;ASESOR DE SEGUROS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6532260;Rimac Seguros y Reasegrs;26;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA COMERCIAL;PRODUCTO;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6500836;Rimac Seguros y Reasegrs;57;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVO SR ATENCIONES COMPLEJAS;SINIESTROS VEHICULARES;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6541064;Rimac Seguros y Reasegrs;47;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE GESTION SERVICIOS OPERATIVOS;GESTION SERVICIOS OPERATIVOS;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
6502614;Rimac Seguros y Reasegrs;38;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;BUSINESS PARTNER;BUSINESS PARTNER Y COMPENSACIONES;DIVISION GESTION Y DESARROLLO HUMANO;NACIONAL;LEARNING;Otros;20/04/2020;20/04/2020;4;2;;INNOVACIÓN;VIRTUAL; 1 ;Gabriela Jahuin;ASISTIÓ
